,Day,Spread,Pred_Total,Away Money Line,Home Money Line,Year,Week,prev_TE allowed_Favorite,prev_TE allowed_Underdog,prev_RB allowed_Favorite,prev_RB allowed_Underdog,prev_K allowed_Favorite,prev_K allowed_Underdog,prev_QB allowed_Favorite,prev_QB allowed_Underdog,prev_Total FPts allowed_Favorite,prev_Total FPts allowed_Underdog,Model_Preds,True_Gold,Model_Correct
415,2.0,-0.013740053690051695,0.029649296718151467,0.013408803907565206,-0.0124705020021961,1.0,10.0,0.04150359262628539,0.07455633437207827,0.01636934258943769,0.038831906537733184,0.006864722320663693,0.04271194414099335,0.02884169573620741,0.042289239042764284,0.02826111576279788,0.046602639669488966,Under,Over,0
363,3.0,-0.013740053690051695,0.02686967515082477,0.013408803907565206,-0.0124705020021961,1.0,7.0,0.05725678106837913,0.0053044032359581385,0.023486448063106253,0.02909056915885166,0.03432361160331846,0.055854080799760536,0.04389365292020187,0.018862826047851698,0.03740532042871944,0.02885623715176068,Under,Over,0
1171,2.0,-0.013740053690051695,0.029340449877337395,0.015884275398192628,-0.015629695842752447,4.0,9.0,0.02029737741577461,0.018860100394517826,0.013522500399970269,0.026421709602993712,0.04118833392398216,0.052568546635068734,0.01861772481877721,0.022817934735304468,0.021249536010572775,0.030506212592458563,Over,Over,1
1003,2.0,-0.04580017896683899,0.027178521991638848,0.036616349132197294,-0.033254672005856266,3.0,15.0,0.018479701826302253,0.024753881767804645,0.009821605553662616,0.012810525868118162,0.03432361160331846,0.03942640997630156,0.019532833326818804,0.01767629344161586,0.019630889043702436,0.022593663701289617,Over,Over,1
1200,0.0,-0.016030062638393645,0.02872275619570924,-0.018462891534262862,0.012304228642166818,4.0,11.0,0.00999721574209794,0.0023575125493147282,0.024767527048366596,0.024553507913893144,0.0034323611603318464,0.003285534164691796,0.006247982227318454,0.015759586923850287,0.014905360457957728,0.016228425112286244,Over,Over,1
767,2.0,-0.02748010738010339,0.030575837240593706,-0.026817607815130408,0.01995280320351376,2.0,16.0,0.00545302676841706,0.007956604853937208,0.021066632202058944,0.011342653112396291,0.024026528122322924,0.03285534164691796,0.02243593617991627,0.02373065212471665,0.023021609230227044,0.01756307191320631,Over,Over,1
785,2.0,-0.02748010738010339,0.029649296718151467,0.021969809479318377,-0.01986966652349912,3.0,1.0,0.005755972699995784,0.016797276913867436,0.02490986915783996,0.02909056915885166,0.0,0.03285534164691796,0.004449320677029808,0.025130152121815325,0.011591353397825077,0.027910251232427227,Over,Under,0
342,2.0,-0.011450044741709749,0.03304661196710633,-0.014955973589207344,0.010392085001830084,1.0,5.0,0.015147296578936275,0.021983159890022138,0.01992789532627197,0.024523076659816782,0.03089125044298661,0.024431155043941208,0.024234597730204914,0.025236350593062555,0.02491642345210844,0.026361480014506868,Under,Over,0
802,2.0,-0.0068700268450258475,0.033355458807920416,0.011036477062380591,-0.009726991561712958,3.0,2.0,0.010603107605255391,0.0029468906866434103,0.019073842669431747,0.023219078135964168,0.02059416696199108,0.026284273317534367,0.02278304630365618,0.04198499991296023,0.02444847338111749,0.034832814859177434,Under,Over,0
986,2.0,-0.013740053690051695,0.028105062514081083,0.014749684298321727,-0.012719912042240022,3.0,14.0,0.005755972699995784,0.01915478946318216,0.02718734290941391,0.02081710453569201,0.054917778565309536,0.009856602494075387,0.021299939411312908,0.03002840211166068,0.027348229558733558,0.027074263675806967,Over,Over,1
1122,2.0,-0.020610080535077544,0.027178521991638848,-0.024032702388174558,0.015795969202781725,4.0,6.0,0.03180932281576618,0.029763595935098437,0.02063960587363883,0.027355810447543996,0.024026528122322924,0.03614087581160976,0.0241399313328213,0.046609434685981936,0.023397503549547644,0.029677558260019176,Over,Over,1
128,2.0,-0.03664014317347119,0.027178521991638848,-0.03610062590498325,0.02369395380417259,0.0,8.0,0.042412430421021566,0.024753881767804645,0.01765042157469804,0.03442828827056756,0.037755972763650315,0.01642767082345898,0.03073502368387967,0.020292749957930782,0.024348746316807942,0.027660921610277327,Under,Under,1
259,2.0,-0.03206012527678729,0.028413909354895163,0.024754714906274226,-0.023278270404099386,1.0,0.0,0.0216416999871552,0.020002020535592142,0.02752540541941316,0.02715397794363224,0.021134763844743342,0.023861191871074168,0.02627663081043393,0.022319743160250326,0.027541642528649282,0.024885296257814445,Under,Over,0
